,url,title,summary,text
corvetto__fairy_tale_,https://en.wikipedia.org/wiki/Corvetto_(fairy_tale),Corvetto (fairy tale),"""Corvetto"" is an Italian literary fairy tale written by Giambattista Basile in his 1634 work, the ""Pentamerone"".It is Aarne-Thompson type 531.  Other tales of this type include ""The Firebird and Princess Vasilisa"", ""Ferdinand the Faithful and Ferdinand the Unfaithful"", ""King Fortunatus's Golden Wig"", and ""The Mermaid and the Boy"".  Another, literary variant is Madame d'Aulnoy's ""La Belle aux cheveux d'or"", or ""The Story of Pretty Goldilocks"".

","Corvetto served a king loyally and was favored by him.  Envious fellow servants tried to slander him, but failed. An ogre lived nearby, with a magnificent horse, and finally the servants said that the king should send Corvetto to steal it.  Corvetto went, and jumped on the horse.  It shouted to its master, who chased after with wild animals (one of them being a Werewolf), but Corvetto rode it off.  The king was even more pleased, and the other servants told him to send Corvetto after the ogre's tapestry.  Corvetto went, hid under the ogres' bed, and in the night stole both the tapestries and the counterpane from the bed (causing the ogre and ogress to argue about who hogged them).  He dropped them from a window and fled back to the king.
The servants then persuaded him to send Corvetto for the entire palace.  He went and talked with the ogress, offering to help her.  She asked him to split wood for her.  He used the axe on her neck.  Then he dug a deep pit in the doorway and covered it.  He lured the ogre and his friends into it, stoned them to death, and gave the king the palace."
costanza___costanzo,https://en.wikipedia.org/wiki/Costanza_/_Costanzo,Costanza / Costanzo,"Costanza / Costanzo is an Italian literary fairy tale written by Giovanni Francesco Straparola in The Facetious Nights of Straparola (written between 1550 and 1555).

","A king married to have heirs, and his wife bore three daughters.  In time, he realized that his wife had come to an age where she would have no more children, and his three daughters were ready for marriage.  He married them off and split his kingdom between them, keeping only enough land to support his court.  
A few years later, the queen gave birth to a fourth daughter, Costanza.  Costanza was raised well and became a gracious, educated and accomplished princess.  When she was old enough to marry, they proposed that she marry the son of a marquis, because her dowry would not be enough for a match equal to her birth.  Costanza refused to marry below her station, dressed as a man, and left, calling herself Costanzo.  
She entered a king's service, where the queen desired her as a lover, but ""Costanzo"" rejected her.  The king had long wished to have as a captive one of the satyrs that did great damage in his land; the queen suggested to him that so good a servant as Costanzo could catch one. The king proposed it to Costanzo, who agreed to please him.  She asked for a large vessel, wine, and bread.  In the woods, she filled the vessel with the wine and bread and climbed a tree.  The satyrs smelled it, ate the bread, and fell asleep.  Costanza tied up one and carried him off.  On the way back, the satyr woke and began to laugh:  at a funeral of a child, at a hanging, at a crowd that hailed her as ""Costanzo"", and at being presented to the king.
The king tried to make the satyr talk.  The queen said that Costanzo could certainly make it talk.  Costanzo tried to bribe it with food, then threatened it with hunger, and finally promised to free it.  It ate and talked.  It told that at the funeral, the apparent father was not the father, but the priest was; at the hanging, the crowd was filled with officials who pilfered far more money than the thief to be hanged; and that it would explain the rest the next day. The next day, it explained that they were hailing her by the wrong name, and that the king was deluded into believing his wife's maidens were women, when they were disguised men. The king had his queen and her disguised lovers burned, and married Costanza."
culhwch_and_olwen,https://en.wikipedia.org/wiki/Culhwch_and_Olwen,Culhwch and Olwen,"Culhwch and Olwen (Welsh: Culhwch ac Olwen) is a Welsh tale that survives in only two manuscripts about a hero connected with Arthur and his warriors: a complete version in the Red Book of Hergest, c. 1400, and a fragmented version in the White Book of Rhydderch, c. 1325. It is the longest of the surviving Welsh prose tales.

","Culhwch's father, King Cilydd son of Celyddon, loses his wife Goleuddydd after a difficult childbirth. When he remarries, the young Culhwch rejects his stepmother's attempt to pair him with his new stepsister. Offended, the new queen puts a curse on him so that he can marry no one besides the beautiful Olwen, daughter of the giant Ysbaddaden Pencawr. Though he has never seen her, Culhwch becomes infatuated with her, but his father warns him that he will never find her without the aid of his famous cousin Arthur. The young man immediately sets off to seek his kinsman. He finds him at his court in Celliwig in Cornwall.

Arthur agrees to lend help in whatever capacity Culhwch asks, save the lending of his sword Caledfwlch and other named armaments, or his wife. He sends not only six of his finest warriors (Cai, Bedwyr, Gwalchmei, Gwrhyr Gwalstawd Ieithoedd, Menw son of Tairgwaedd, Cynddylig Gyfarwydd), but a huge list of personages of various skills (including Gwynn ap Nudd) recruited to join Culhwch in his search for Olwen. The group meets some relatives of Culhwch's that know Olwen and agree to arrange a meeting. Olwen is receptive to Culhwch's attraction, but she cannot marry him unless her father Ysbaddaden ""Chief Giant"" agrees, and he, unable to survive past his daughter's wedding, will not consent until Culhwch completes a series of about forty impossible-sounding tasks, including the obtaining of the basket/hamper of Gwyddneu Garanhir, the hunt of Ysgithyrwyn chief boar. The completion of only a few of these tasks is recorded and the giant is killed, leaving Olwen free to marry her lover."
dapplegrim,https://en.wikipedia.org/wiki/Dapplegrim,Dapplegrim,"Dapplegrim (Grimsborken) is a Norwegian fairy tale collected by Peter Christen Asbjørnsen and Jørgen Moe in their Norske Folkeeventyr.  Andrew Lang included it in The Red Fairy Book.

","A man, the youngest of 12 children, decides to wander off from his rich parents' house. Upon his return, he finds his parents have died and his brothers have shared all the lands among themselves, thinking he was dead. They offer him 12 mares as compensation, and when he goes to check them he finds all of them have a foal, and that one has yet another foal, a very sleek dapple-gray one. When he praises the beauty of the foal, it replies back and tells him that he'll be more splendid if the young man would go and kill all the other foals and let him feed on all the mares' milk for a year. The young man decides to heed to this advice and finds him a year later being quite large and sleeker. The colt tells him that he would be even more splendid if the young man were to go again and kill the 12 foals that have been born since, which the young man agrees to do. Yet again he returns the next year, finding the horse being huge an incredibly sleek, and yet again the horse asks him to kill the new foals and let him have the mares' milk for one more year, to which the young man agrees again. At last, he returns a year later to find the horse impossibly large and radiant, and the horse decides then to go with him.
The brothers are surprised that he has such a horse, and on the horse advice, they give him horseshoes and a golden saddle and a golden bridle, in exchange for the 12 mares and their new foals. Then, the man rides the horse, whose name is Dapplegrim, to the kingdom's capital. The king's daughter had been kidnapped by a troll and the king had promised her hand and half his kingdom to whomever could rescue her. Dapplegrim promises the man that he'll help, but the man needs to request the best food and stables for the horse. The king, upon seeing the man riding in such superb horse agrees. Envious knights urge the king to send the man to rescue the princess or else he should be killed, to which the man reluctantly agrees. Dapplegrim asks him to request for iron and silver horseshoes, and after obtaining them takes him to the troll's cave on top of an almost vertical stone wall on a hill, and manages to ride up, the man putting the princess on top of the horse before the troll can even stand up.
Upon his triumphant return with the princess, however, the ill-advised king asks him that in order to marry the princess he needs to get rid of the ridge that prevents the sun to shine in his hall. Dapplegrim again says he can help, but the man needs to request even heavier silver and iron horseshoes. Then the horse jumps on top of the ridge until it finally sinks. Once again, however, the king asks something else: the man needs to procure an equally splendid horse for the bride, or else he will be killed. Dapplegrim agrees to help again, and this time demands for even larger horseshoes, as well as an assortment of things, for they must go to hell where another horse like it lies. After a number of adventures, Dapplegrim fights the hellish horse and defeats it, at which point the man puts the bridle on it and they return together, the second horse happening to be identical to Dapplegrim in every single detail.
Yet, the king has still one more trial for the man: the princess must hide twice and be found, and then the man must hide twice and the princess be unable to find him. The princess transforms first into a duck, and then into a loaf of bread, but on both occasions Dapplegrim told the man, so he finds her. When it is his turn, the man, transforms into a tick and hides in Dapplegrim's nostril, and the second time into a clump of dirt hiding in between the horse's hooves and its horseshoes. The princess is unable to find him, due to Dapplegrim not allowing her to come close. At last, the man and the princess ride in their horses to the church to get married."
dawn__midnight_and_twilight,"https://en.wikipedia.org/wiki/Dawn,_Midnight_and_Twilight","Dawn, Midnight and Twilight","Dawn, Twilight and Midnight or Dawn, Evening, and Midnight (Russian: ""Зорька, Вечорка и Полуночка"") is a Russian fairy tale collected by Russian folklorist Alexander Afanasyev and published in his compilation Russian Fairy Tales as number 140. The tale was translated by Jeremiah Curtin and published in Fairy Tales of Eastern Europe.It is classified in the Aarne-Thompson-Uther Index as tale type ATU 301, ""The Three Stolen Princesses"". This type refers to a set of stories where three heroes (or three brothers) approach a cave or hollow and send one of them down to rescue three captured princesses.

","A king, Gosudar, builds an underground palace to house his daughters from any danger. Yet, they insist they leave the palace for a stroll in the garden, to see ""the white world"". When they do so, a strong whirlwind blows and takes them away.
The king, then, sends his men all over the kingdom, to find heroes brave enough to rescue the three princesses. An old widow's three sons decide to try their luck and heed the king's proclamation. They were called Midnight, Twilight and Dawn, named so after the time of the day when they were born.
The three siblings go their way and arrive in an abandoned hut in the forest at the edge of a desert. They soon alternate their tasks: while two hunt, the other stays at home to cook something. For three days, a man, small in stature, but strong in power, defeats the older brothers, Midnight and Twilight, but Dawn defeats the creature, who escapes to a crevasse on the mountain.
Dawn fashions a strong rope from the bark of trees and descends the hole, arriving at three palaces, of copper, silver and gold. Inside each palace, one of the kidnapped princesses and a many-headed serpent that guards her.
Dawn kills each of the evil serpents, rescues the princesses and lifts them through the rope to the upper world."
diamond_cut_diamond__fairy_tale_,https://en.wikipedia.org/wiki/Diamond_Cut_Diamond_(fairy_tale),Diamond Cut Diamond (fairy tale),"Diamond Cut Diamond is an Indian fairy tale.  Andrew Lang included it in The Olive Fairy Book (1907), describing as a Punjabi story collected by Major Campbell in Feroshepore.

","A merchant, after many years of poverty and hard work was forced to move to a distant region and then grew rich.  He decided to go home and tell his wife. On the way he met a man that told him that his road was beset by thieves, and the merchant left with his box of jewels with him until he could get men of his own family to accompany him. On the way there he was robbed and the only thing left was his box of jewels.  When he returned the man at the gate denied that it had ever happened, and threw him out of the shop. The merchant was angry.
Remington Ram saw him laying dusty on the ground on the road, and asked him what had happened.  Then he sat up and told him to go back the next day, and ask for his box when someone gave him a signal.  While he was waiting, a donkey with a man on top arrived, and the man was told that a lady wished to leave her boxes of jewels with him, for safety.  While the talk was still going on, the merchant received the signal and came to ask.  The man decided that it would put off the lady, and handed over the box.  The merchant started to dance in the street and then was arrested.  A messenger arrived and told the wife that her husband had been arrested, so she went to the prison to get her husband out.  Then Remington Ram burst out of the chest on the side of the donkey and joined the merchant.  Then the man joined them.
Someone said that the merchant had recovered his jewels, that Remington Ram had tricked him, later that day Remington was arrested.  He said that he had thought he had learned every way to trick people, but now he knew another. Remington was sentenced to 5 years in prison."
dick_whittington_and_his_cat,https://en.wikipedia.org/wiki/Dick_Whittington_and_His_Cat,Dick Whittington and His Cat,"Dick Whittington and His Cat is the English folklore surrounding the real-life Richard Whittington (c. 1354–1423), wealthy merchant and later Lord Mayor of London. The legend describes his rise from poverty-stricken childhood with the fortune he made through the sale of his cat to a rat-infested country. However, the real Whittington did not come from a poor family of common stock, and there is no compelling evidence supporting the stories about the cat, or even whether he owned one.
Another element in the legend is that Dick attempted to flee his service as a scullion one night, heading towards home (or reached Highgate Hill in later tradition), but was dissuaded by the sound of Bow bells, which promised he would be mayor of London one day.
Since the pre-Victorian era, the story has been a favourite subject of British pantomime, especially during Christmas season.","The following summary gives a comparison of three textual sources. B = Johnson's ballad, H = prose by Heywood, signed T. H. (Wheatley ed.); C = Late chapbook (18th to 19th-century printing by J. Cheney):
To LondonDick Whittington was a poor orphan boy, languishing in Lancashire (B), or some unnamed place in the country (H, C). He set off to seek his fortune in London (B, H, C), enticed by the rumour that its streets were paved with gold (C). But he soon found himself cold and hungry, and fell asleep at the gate of the home of a wealthy merchant named Fitzwarren (H, C). Fitzwarren gave him lodging and hired him to be the scullion in the kitchen (B, H, C).

Dick and his catIn the prose versions, an account of Dick Whittington's cat subsequently follows, but in the ballad, it is preceded by Dick's flight and church bells episode.
In the prose legend, Dick is provided quarter at the Fitzwarrens' garret (room in the attic) (H, C), which was infested with rats and mice (H, C). But Dick owned a cat (B, H, C), that the prose versions say he had bought for a penny he earned by shining shoes (H, C). The cat controlled his rodent problem, which made her an indispensable companion.
When Fitzwarren organized a trade expedition sending the merchant ship Unicorn (H), Dick's cat was ""ventured"" to this mission to be sold for profit abroad (B, H, C). The versions also differ regarding the circumstances: either Dick relinquished the cat of his own volition, hoping its sale in a foreign land might reap a ""store of gold"" towards the fulfillment of the omen of the bells (B), or, Dick was compelled to do so by Fitzwarren, who maintained a steadfast rule that everyone in his household should have some article of worth riding on the venture, with due dividends forthcoming from the proceeds (H, C).

Flight, and the bells tollingDick became disenchanted with the scullion's lot and attempted to flee, either because he received only room and board for his labours but was denied monetary wages (B), or because the kitchen maid (H) or female cook named Mrs. Cicely (C) abused and physically beat him beyond his tolerance. He ran as far away as Bunhill (H) or Holloway (C), where he heard ""London Bells"" (B), Bow bells (C), or the bells of ""Bow Church"" (H), that seemed to be telling him,  

which persuaded him to retrace his steps. (The wording of the bells' message differ slightly according to the textual source).

Rags to richesThe ship was driven off course to the Barbary Coast, where the Moorish king purchased the entire cargo for a load of gold, and insisted on entertaining the English traders with a feast. But the banquet was swarmed with rats and mice, whereby the English ""factor"" (business agent) informed their hosts that they were in possession of a creature which could exterminate these vermin (H, C). Thus Dick Whittington's cat was immediately put to the test, chasing and destroying the rodents. The Moors, even more pleased to learn that the cat was pregnant, paid more (H) (or ten times more (C)) for the cat than the rest of the cargo combined.
The ship returned to London and Fitzwarren who was apprised of the success of the venture (at his home on Leadenhall (H)), summoned the besmirched scullion Dick Whittington to the parlour (H) (or compting-room (C)) and sat him in a seat, addressing him in dignified fashion as Master (H) or Mr. Whittington. Dick was upset at first that this was being done in mockery, but Fitzwarren insisted it was all in earnest, explaining that the profits from the ship now made Dick a richer man than himself (C, H).
Dick married his former master's daughter Alice Fitzwarren (C, H), and joined his father-in-law in his business (H). In time, Whittington became the Lord Mayor of London three times, just as the bells had predicted. Whittington's acts of charity included the building of a college, a church (B, H, C), and Newgate Prison (B, H, C). He also burnt the bonds he owned, which the Crown had issued to fund the war (B, H)."
doctor_know_all,https://en.wikipedia.org/wiki/Doctor_Know-all,Doctor Know-all,"""Doctor Know-all"" (German: Doktor Allwissend) is a German fairy tale collected by the Brothers Grimm, tale number 98 in Grimms' Fairy Tales. It is Aarne-Thompson type 1641 about being in the right place at the right time. Another tale of this type is Almondseed and Almondella.

","A peasant named Crabbe saw how well a doctor ate and asked him how to become one. The doctor told him to buy an ABC book with a rooster up front, sell his oxen and cart to buy doctor's equipment and clothing, and advertise himself as ""Doctor Know-all."" Crabbe takes this advice serious and soon becomes a doctor under this name.
Shortly after he set himself up, a nobleman visited him and asked to find stolen money. Crabbe insists that his wife should come along. At the nobleman's home Crabbe and his wife are invited for dinner. When they sat to eat, Crabbe nudged his wife at each course, saying ""That's one,"" ""That's two,"" and ""That's three"" – meaning three courses. However, the servants who brought the dishes and who'd actually stolen the money thought he was identifying them. The fourth servant then brought the final meal under a covered tray. The lord asked the doctor to show his all-knowing skill and guess what was underneath the tray. Crabbe, who had no idea, pitied himself and cried: ""Ah, poor Crabbe!"" As it happens the meal was indeed a plate full of crabs.
All four servants were now in complete panic. They asked Crabbe to speak to him confidently and confessed their crime. If he would not denounce them they would willingly restore the money and give him part of the finders' reward. Crabbe agreed and was shown where the loot was hidden. He then went back to the nobleman, sat down to the table and pretended to look for the answer in his ABC book. Meanwhile, a fifth servant was hiding inside a stove to listen if Doctor Know-all still knew more. When Crabbe tried to look up the answer he said: ""I know you are there, so you better show yourself!"" The servant inside the stove thought Crabbe meant him and jumped out the stove. Then Crabbe revealed where the money was and received a lot of money both from the nobleman as well as from the frightened servants, becoming a wealthy and renowned man."
dog__and_his_human_speech,"https://en.wikipedia.org/wiki/Dog,_and_His_Human_Speech_(Central_African_folktale)","Dog, and His Human Speech","Dog, and His Human Speech is a Central African folktale collected by missionary Robert Hamill Nassau, from the Tanga people. According to scholars, the tale is related to the folkloric theme of the Calumniated Wife, and finds parallels with European variants of tale type ATU 707, ""The Three Golden Children"", of the international Aarne-Thompson-Uther Index.

","A chief named Njambo is already married to a woman named Nyangwa-Mbwa, and they have a son named Mbwa (described as a creature with human speech). Njambo then marries three sisters: Majanga, responsible for cleaning their house; Inyanji, occupied with planting; and Mamĕndi, who is to bear Njambo's children. Mamĕndi is attended by her sisters and gives birth to twin boys. Majanga and Inyanji cast them into the pig-pen. They take two anthills (Nassau attributed it to their conical shape) and present them to Njambo as his sons.Mbwa finds the boys in the pig-pen and takes them to his mother to rear and suckle. One day when Nyangwa-Mbwa is away, Mamĕndi's jealous sisters kill the twins. Mbwa goes to a person named Nja-ya-melema-mya-bato to get two ""heart-lives"" to resurrect the twins. The twin boys come back to life and grow up as fine young men. The twin boys hunt game and give Mbwa to bring to his father Njambo. Njambo wonders where Mbwa is finding all these animals to hunt.
Finally, after some years, Mbwa convinces his father to summon all the people in an assembly. Mbwa brings to the assembly the twins, and reveals the whole truth."
dokkaebi_bangmangi,https://en.wikipedia.org/wiki/Dokkaebi_bangmangi,Dokkaebi bangmangi,"Dokkaebi bangmangi (도깨비 방망이 The Goblins’ Club) is a Korean folktale that tells the story of a good woodcutter who comes into possession of goblin’s club and becomes rich, and an evil woodcutter who acts greedily and ends up getting punished. The story is both a sinidam, in which a goblin appears and influences the narrative, and a mobangdam containing a warning to those who copy others with bad intentions.","A good woodcutter, on his way to cut wood, picked up some ginkgo nuts. He planned to give them in turn to his grandfather, his grandmother, his parents, his wife and his children, leaving the last ones for himself. Just then, it suddenly started raining, so the woodcutter took shelter in a log cabin. Inside, he found some goblins having a party. They were banging a club, drinking and eating, and the woodcutter, feeling hungry, took out the ginkgo nut he had just picked up and bit into it. The goblins were startled at the sound of his biting, and ran away. The woodcutter picked up their club, and became a rich man. When his neighbor, an evil woodcutter, heard what had happened, he tried to become rich himself, in exactly the same way. But, unlike the good woodcutter, he tried to eat all the ginkgo nuts he picked up. Then, the evil woodcutter went into the goblins’ cabin and bit into a ginkgo nut. But when the goblins heard the sound this time, they gave the evil woodcutter a good beating, thinking he was the man who had tricked them."
don_joseph_pear,https://en.wikipedia.org/wiki/Don_Joseph_Pear,Don Joseph Pear,"Don Joseph Pear is an Italian fairy tale collected by Thomas Frederick Crane in his Italian Popular Tales.
It is Aarne-Thompson type 545B.

","Three brothers owned a pear tree and lived on the pears.  One day, all the pears were stolen, and the brothers decided to watch it during the night.  The older two fell asleep on their turns, but the youngest, Don Joseph, stayed awake, and when a fox came to steal, threatened to shoot him.  The fox promised that if he let him go, he would marry the king's daughter.  He did not believe it, but let the fox go.
Twice, the fox hunted all manner of game and presented it to the king, as a gift from Don Joseph Pear.  He then went to an ogress and convinced her it was time to divide the gold and silver.  He went to the king to get a measure for Don Joseph Pear to divide the gold and silver, which convinced the king that Don Joseph was rich.
The fox then dressed Don Joseph well and set him off to travel with the king and his daughter.  He the fox went ahead and when peasants threw rocks at him, threatened to have them killed if they did not describe the land and flocks as Don Joseph's.  Then he got to the ogress's castle, told her the horsemen were coming to kill them, and suggested they hide in the well.  He threw her in, killing her.
One day, Don Joseph threw dust into the fox's eyes, and the fox threatened to tell what he knew.  So Don Joseph threw a jar and killed the fox, but he still lived happily ever after."
east_of_the_sun_and_west_of_the_moon,https://en.wikipedia.org/wiki/East_of_the_Sun_and_West_of_the_Moon,East of the Sun and West of the Moon,"""East of the Sun and West of the Moon"" (Norwegian: Østenfor sol og vestenfor måne) is a Norwegian fairy tale.
""East of the Sun and West of the Moon"" was collected by Peter Christen Asbjørnsen and Jørgen Moe.  It is Aarne–Thompson type 425A, the search for the lost husband; other tales of this type include ""Black Bull of Norroway"", ""The Brown Bear of Norway"", ""The Daughter of the Skies"", ""The Enchanted Pig"", ""The Tale of the Hoodie"", ""Master Semolina"", ""The Sprig of Rosemary"", ""The Enchanted Snake"", and ""White-Bear-King-Valemon"". The Swedish version is called ""Prince Hat under the Ground"". It was likely an offspring from the tale of ""Cupid and Psyche"" in The Golden Ass, which gave rise to similar animal bridegroom cycles such as ""Beauty and the Beast"".It was included by Andrew Lang in The Blue Fairy Book (1890).

","The White Bear approaches a poor peasant and asks if he will give him his prettiest and youngest daughter; in return, the bear will make the man rich.  The girl is reluctant, so the peasant asks the bear to return, and in the meantime, persuades her to marry the bear.  The White Bear takes her off to a magnificent enchanted castle.  At night, he discards his bear form, and comes to her bed as a man. She never sees him, however, because he enters her bedroom after she extinguishes the light, and leaves before daybreak.

When she grows homesick, the bear agrees that she might go home as long as she agrees that she will never speak with her mother alone, but only when other people are around.  At home, her family welcomes her, and her mother makes persistent attempts to speak with her alone. She finally persuades her daughter to disclose the entire account about the stranger man who sleeps beside her in the dark each night, and leaves before daybreak. In response to the girl's story, she insists that the White Bear must really be a troll, gives her a candle, and tells her to light it at night, to see who is sharing her bed, warning her not to spill any tallow.

The girl obeys, and discovers that the bear is actually a highly attractive prince. Falling in love with him at first sight, she kisses him, and spills three drops of tallow on him. Waking him, thus, she is told that if she had waited for a year, he would have been free, but now he must go to his wicked stepmother, who turned him into his form and lives in a castle that lies east of the Sun and west of the Moon, and marry her hideous daughter, a troll princess.
In the morning, the girl finds that the palace has vanished.  She sets out in search of the prince.  Coming to a great mountain, she finds an old woman playing with a golden apple.  She asks the old woman if she knows the way to the castle that lies east of the Sun and west of the Moon.  The old woman cannot tell her the way, but lends her a horse to ride to a neighbor who might be able to, and gives her the apple.  The neighbor is sitting outside another mountain, with a golden carding comb.  She, also, does not know the way to the castle, but lends the girl another horse to ride to another neighbor who might know, and gives her the carding comb.  That third old woman does not know the way to the castle either, but lends the girl another horse to ride to the East Wind, and gives her the golden spinning wheel with which she had been working.
The East Wind has never been to the castle that lies east of the Sun and west of the Moon, but believes his stronger brother, the West Wind might have been there. He takes her to the West Wind, who brings her to the South Wind for the same reason. The South Wind brings her to the North Wind, again, for the same reason. The North Wind says he once exhausted himself blowing an aspen leaf to her desired destination, but would take her there if she was absolutely determined to go there. The girl says she is determined to go there, and so, he takes her there.

The morning after her arrival at the castle, the girl starts to play with the golden apple. The troll princess, who is betrothed to the prince, sees the golden plaything, and says to the girl that she would like to buy it. The girl agrees to part with it in exchange for a night with the prince. The troll princess agrees to the exchange, but gives the prince a sleeping drink, so that he cannot be woken up. These events recur the next night, after the girl gives the troll princess the gold carding comb.  This time, the girl's weeping and plaintive utterances, as she attempts to awaken the prince, are overheard by imprisoned townspeople within the castle. They report to him what they had overheard. On the third day, the troll princess agrees to another night in the prince's bedchamber in exchange for the girl's golden spinning wheel. That night, the prince does not drink the potion that the troll princess brings him, and so, he is awake for the girl's visit.
The prince tells her how she can save him:  He will declare that he will marry anyone who can wash out the tallow stains from his shirt, since trolls, like his stepmother and her daughter, the troll princess, cannot do it. He would call on the girl for this purpose. When she succeeds, he would claim her for his bride. The plan works out, and rage causes the trolls to explode. The spell is broken, and the prince no longer needs to assume his bear form during the day. He and his bride free the prisoners within the castle that lies east of the Sun and west of the Moon, and leave it far behind them with all the gold and silver that had been housed within it."
fair__brown_and_trembling,"https://en.wikipedia.org/wiki/Fair,_Brown_and_Trembling","Fair, Brown and Trembling","Fair, Brown and Trembling is an Irish fairy tale collected by Jeremiah Curtin in Myths and Folk-lore of Ireland and Joseph Jacobs in his Celtic Fairy Tales.It is Aarne-Thompson type 510A.  Other tales of this type include Cinderella, Finette Cendron, The Golden Slipper, Katie Woodencloak, Rushen Coatie, The Sharp Grey Sheep, The Story of Tam and Cam, and The Wonderful Birch.

","King Hugh Cùrucha had three daughters:  Fair, Brown and Trembling. Since Trembling was the most beautiful, her older sisters made her stay at home, for fear that she would marry before them.  After seven years, the son of the king of Emania fell in love with Fair.  A henwife told Trembling she should go to church; when she objected that she had no suitable dress, the henwife gave her one, a horse, a honey-finger, and a honey-bird and told her to leave as soon as Mass was done.  She obeyed, and got away before any man came near her.  After two more times, the son of the king of Emania forgot Fair for the woman who had come to church and ran after her, managing to get her shoe when she rode off.
The king's son looked for the woman whose foot the shoe fit, although the other king's sons warned him that he would have to fight them for her.  They searched all over, and when they came to the house, they insisted on trying Trembling as well.  The king's son said at once that she was the woman; Trembling went off and reappeared in the clothing she had worn to church, and everyone else agreed.
The sons of foreign kings fought him for her, but the king's son defeated them all, and the Irish king's sons said they would not fight one of their own.  So the king's son and Trembling got married.  Trembling had a son, and her husband sent for Fair to help her.  One day, when they walked by the seashore, Fair pushed Trembling in.  A whale swallowed Trembling, and Fair passed herself off as her sister.  The prince put his sword in bed between them, declaring that if she were his wife, it would grow warm, and if not, it would grow cold.  In the morning, it was cold.
A cowherd had seen Fair push Trembling in and saw the whale swallow her.  The next day, he saw the whale spit her back up.  She told him that the whale would swallow and spit her back up three times, and she could not leave the beach.  Unless her husband rescued her by shooting the whale in a spot on its back, she would not be freed.
Her sister gave the cowherd a drink that made him forget the first time, but the second, he told the prince.  The prince shot the whale.  They sent word to her father, who said that they could execute Fair if they wanted to.  They told him he could do as he pleased, so the father abandoned her on the sea in a barrel, with provisions.
Their next child was a daughter, and they decided to marry her to the cowherd."
fair_brow,https://en.wikipedia.org/wiki/Fair_Brow,Fair Brow,"Fair Brow is an Italian fairy tale collected by Thomas Frederick Crane in his Italian Popular Tales.Italo Calvino included a variant from Istria in his Italian Folktales.  He noted that the grateful dead man was a common medieval motif.

","A merchant sent his son off to make money.  Once he spent it all paying off a dead man's debts, so he could be buried, and another time, he bought a slave woman, the Sultan's kidnapped daughter, and married her.  His father beat them both and drove them out of his home.  The wife said that she would paint, and her husband would sell the paintings, though he must not tell where they came from.  Turks saw them, recognized the work, and told him they wanted more.  He said to come to his house, where his wife painted them, and they seized her and carried her off.
He walked on the shore, and an old man agreed to have him fish with him.  They were captured by Turks and sold to the Sultan as slaves.  The old man was made a gardener, and the young man to carry bouquets to the Sultan's daughter, whom the Sultan had imprisoned in a tower as punishment.  One day his wife recognized him while he was singing.  They escaped with a great deal of treasure.
The old man said that they must divide the treasure.  The young man offered him half.  When the old man asked if his wife was also half his, the young man offered him three quarters.  The old man told him that he was the dead man whose debts he had paid, and vanished.  The young man was reconciled with his father, who died not long after, leaving him all his wealth."
